"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM","Rk","Salary_2019_to_20","Salary_2020_to_21","Salary_2021_to_22","Salary_2022_to_23","Salary_2023_to_24","Salary_2024_to_25","Signed Using","Guaranteed","Salary_Per_Million","WARP_Per","PER_Mil","BPM_Per","VORP_Per","WS_Per","Pos"
"557","San Antonio Spurs","Jakob Pöltl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,3754886,NA,NA,NA,NA,NA,"1st Round pick",3754886,3.754886,NA,NA,NA,NA,NA,NA
"558","Minnesota Timberwolves","Jake Layman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,3581986,3761085,3940184,NA,NA,NA,"Sign and Trade",11283255,3.581986,NA,NA,NA,NA,NA,"PF"
"559","Detroit Pistons","Thon Maker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,3569643,NA,NA,NA,NA,NA,"1st Round pick",3569643,3.569643,NA,NA,NA,NA,NA,"C"
"560","Milwaukee Bucks","Mirza Teletovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,3500000,3500000,NA,NA,NA,NA,NA,7e+06,3.5,NA,NA,NA,NA,NA,NA
"561","LA Lakers","DeMarcus Cousins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,3500000,NA,NA,NA,NA,NA,NA,3500000,3.5,NA,NA,NA,NA,NA,NA
"562","Phoenix Suns","Dario Šaric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,3481986,NA,NA,NA,NA,NA,"1st Round pick",3481986,3.481986,NA,NA,NA,NA,NA,NA
"563","Phoenix Suns","Kyle Korver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,3440000,NA,NA,NA,NA,NA,NA,3440000,3.44,NA,NA,NA,NA,NA,"SF"
"564","Minnesota Timberwolves","Juan Hernangómez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,3321030,NA,NA,NA,NA,NA,"1st Round pick",3321030,3.32103,NA,NA,NA,NA,NA,NA
"565","Detroit Pistons","Sekou Doumbouya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,3285120,3449400,3613680,5539771,NA,NA,"1st Round Pick",6734520,3.28512,NA,NA,NA,NA,NA,"SF"
"566","Washington Wizards","Troy Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,3219480,3372840,5170564,NA,NA,NA,"1st Round Pick",6592320,3.21948,NA,NA,NA,NA,NA,NA
"567","Milwaukee Bucks","Jon Leuer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,3169348,3169348,3169347,NA,NA,NA,NA,9508043,3.169348,NA,NA,NA,NA,NA,NA
"568","Boston Celtics","Guerschon Yabusele",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,3117240,NA,NA,NA,NA,NA,NA,3117240,3.11724,NA,NA,NA,NA,NA,NA
"569","Memphis Grizzlies","Dwight Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,3039097,NA,NA,NA,NA,NA,NA,3039097,3.039097,NA,NA,NA,NA,NA,"C"
"570","Chicago Bulls","Ömer Asik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,3e+06,NA,NA,NA,NA,NA,NA,3e+06,3,NA,NA,NA,NA,NA,NA
"571","Portland Trailblazers","Andrew Nicholson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,2844429,2844429,2844429,2844429,2844429,NA,NA,14222145,2.844429,NA,NA,NA,NA,NA,NA
"572","Minnesota Timberwolves","Malik Beasley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,2731714,NA,NA,NA,NA,NA,"1st Round pick",2731714,2.731714,NA,NA,NA,NA,NA,"SG"
"573","San Antonio Spurs","Luka Šamanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,2689920,2824320,2959080,4556983,NA,NA,"1st Round Pick",5514240,2.68992,NA,NA,NA,NA,NA,NA
"574","Portland Trailblazers","Pau Gasol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,2564753,NA,NA,NA,NA,NA,NA,2564753,2.564753,NA,NA,NA,NA,NA,NA
"575","Denver Nuggets","Gerald Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,2564753,NA,NA,NA,NA,NA,NA,2564753,2.564753,NA,NA,NA,NA,NA,NA
"576","Atlanta Hawks","Nenê Hilário",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,2564753,NA,NA,NA,NA,NA,NA,2564753,2.564753,NA,NA,NA,NA,NA,NA
"577","Minnesota Timberwolves","Josh Okogie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,2530680,2651040,4087904,NA,NA,NA,"1st Round Pick",5181720,2.53068,NA,NA,NA,NA,NA,"SG"
"578","Atlanta Hawks","Skal Labissière",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,2338847,NA,NA,NA,NA,NA,"1st Round pick",2338847,2.338847,NA,NA,NA,NA,NA,NA
"579","LA Clippers","Isaiah Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,2320044,NA,NA,NA,NA,NA,NA,2320044,2.320044,NA,NA,NA,NA,NA,"PG"
"580","Indiana Pacers","Monta Ellis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,2245400,2245400,2245400,NA,NA,NA,NA,6736200,2.2454,NA,NA,NA,NA,NA,NA
"581","Detroit Pistons","Markieff Morris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,2241808,NA,NA,NA,NA,NA,NA,2241808,2.241808,NA,NA,NA,NA,NA,"PF"
"582","Portland Trailblazers","Carmelo Anthony",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,2159029,NA,NA,NA,NA,NA,"Minimum Salary",2159029,2.159029,NA,NA,NA,NA,NA,"PF"
"583","Portland Trailblazers","Anfernee Simons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,2149560,2252040,3938818,NA,NA,NA,"1st Round Pick",4401600,2.14956,NA,NA,NA,NA,NA,"SG"
"584","Sacramento Kings","Matt Barnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,2133541,NA,NA,NA,NA,NA,NA,2133541,2.133541,NA,NA,NA,NA,NA,NA
"585","Portland Trailblazers","Nassir Little",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,2105520,2210640,2316240,4171548,NA,NA,"1st Round Pick",4316160,2.10552,NA,NA,NA,NA,NA,"PF"
"586","Denver Nuggets","Toronto Raptorsrey Craig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,2100000,NA,NA,NA,NA,NA,"Cap Space",2100000,2.1,NA,NA,NA,NA,NA,NA
"587","Cleveland Cavaliers","Dylan Windler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,2035800,2137440,2239200,4037278,NA,NA,"1st Round Pick",4173240,2.0358,NA,NA,NA,NA,NA,NA
"588","Portland Trailblazers","Caleb Swanigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,2033160,NA,NA,NA,NA,NA,"1st Round Pick",2033160,2.03316,NA,NA,NA,NA,NA,"PF"
"589","Milwaukee Bucks","Spencer Hawes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,2007058,NA,NA,NA,NA,NA,NA,2007058,2.007058,NA,NA,NA,NA,NA,NA
"590","Memphis Grizzlies","Avery Bradley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,2e+06,NA,NA,NA,NA,NA,NA,2e+06,2,NA,NA,NA,NA,NA,"SG"
"591","Minnesota Timberwolves","Jacob Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1925880,2017320,3641263,NA,NA,NA,"1st Round Pick",3943200,1.92588,NA,NA,NA,NA,NA,"SG"
"592","Portland Trailblazers","Anderson Varejão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,1913345,1913345,NA,NA,NA,NA,NA,3826690,1.913345,NA,NA,NA,NA,NA,NA
"593","Minnesota Timberwolves","Omari Spellman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,1897800,1988280,3588845,NA,NA,NA,"1st Round Pick",3886080,1.8978,NA,NA,NA,NA,NA,"PF"
"594","Detroit Pistons","Tim Frazier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1882867,NA,NA,NA,NA,NA,NA,1882867,1.882867,NA,NA,NA,NA,NA,"PG"
"595","Milwaukee Bucks","Larry Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,1865547,1865547,1865547,NA,NA,NA,NA,5596641,1.865547,NA,NA,NA,NA,NA,NA
"596","Portland Trailblazers","Mario Hezonja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,1737145,1882867,NA,NA,NA,NA,"Minimum Salary",3620012,1.737145,NA,NA,NA,NA,NA,"PF"
"597","Detroit Pistons","Jordan McRae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1645357,NA,NA,NA,NA,NA,"Minimum Salary",1645357,1.645357,NA,NA,NA,NA,NA,"SG"
"598","Detroit Pistons","Christian Wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,1645357,NA,NA,NA,NA,NA,"Minimum Salary",1645357,1.645357,NA,NA,NA,NA,NA,"PF"
"599","Dallas Mavericks","Justin Patton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,1620564,NA,NA,NA,NA,NA,NA,1620564,1.620564,NA,NA,NA,NA,NA,"C"
"600","Denver Nuggets","Vlatko Cancar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,1517981,898310,1782621,NA,NA,NA,"MLE",2416291,1.517981,NA,NA,NA,NA,NA,NA
"601","Cleveland Cavaliers","J.R. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,1456667,1456667,1456666,NA,NA,NA,NA,4370000,1.456667,NA,NA,NA,NA,NA,NA
"602","Atlanta Hawks","Derrick Walton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,1445697,NA,NA,NA,NA,NA,NA,1445697,1.445697,NA,NA,NA,NA,NA,"PG"
"603","Portland Trailblazers","Gary Trent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,1416852,1663861,NA,NA,NA,NA,"MLE",3080713,1.416852,NA,NA,NA,NA,NA,NA
"604","Washington Wizards","Isaac Bonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,1416852,1663861,NA,NA,NA,NA,"Cap Space",1416852,1.416852,NA,NA,NA,NA,NA,"SF"
"605","Minnesota Timberwolves","Jarred Vanderbilt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,1416852,1663861,NA,NA,NA,NA,"Cap Space",1416852,1.416852,NA,NA,NA,NA,NA,"SF-PF"
"606","Detroit Pistons","Sviatoslav Mykhailiuk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,1416852,1663861,NA,NA,NA,NA,"Cap Space",1416852,1.416852,NA,NA,NA,NA,NA,"SF"
"607","Detroit Pistons","Bruce Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,1416852,1663861,NA,NA,NA,NA,"MLE",1416852,1.416852,NA,NA,NA,NA,NA,"SG"
"608","Minnesota Timberwolves","Jaylen Nowell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,1400000,1517981,1782621,1930681,NA,NA,"MLE",1400000,1.4,NA,NA,NA,NA,NA,"SG"
"609","Washington Wizards","Jonathon Simmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,1e+06,NA,NA,NA,NA,NA,NA,1e+06,1,NA,NA,NA,NA,NA,NA
"610","Toronto Raptors","Justin Hamilton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,1e+06,NA,NA,NA,NA,NA,NA,1e+06,1,NA,NA,NA,NA,NA,NA
"611","Oklahoma City Thunder","Kyle Singler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,999200,999200,999200,999200,NA,NA,NA,3996800,0.9992,NA,NA,NA,NA,NA,NA
"612","Golden State Warriors","Alen Smailagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,898310,1517981,1782621,1930681,NA,NA,"MLE",2415891,0.89831,NA,NA,NA,NA,NA,NA
"613","Portland Trailblazers","Wenyen Gabriel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,898310,NA,NA,NA,NA,NA,"Minimum Salary",898310,0.89831,NA,NA,NA,NA,NA,"PF"
"614","Minnesota Timberwolves","Naz Reid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,898310,1517981,1782621,1930681,NA,NA,"MLE",898310,0.89831,NA,NA,NA,NA,NA,"C"
"615","Detroit Pistons","Khyri Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,838464,1663861,NA,NA,NA,NA,"MLE",838464,0.838464,NA,NA,NA,NA,NA,"SG"
"616","Oklahoma City Thunder","Patrick Patterson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,737067,737067,737066,NA,NA,NA,NA,2211200,0.737067,NA,NA,NA,NA,NA,"PF"
"617","Minnesota Timberwolves","Cole Aldrich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,685340,685340,NA,NA,NA,NA,NA,1370680,0.68534,NA,NA,NA,NA,NA,NA
"618","Golden State Warriors","Shaun Livingston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,666667,666667,666666,NA,NA,NA,NA,2666666,0.666667,NA,NA,NA,NA,NA,NA
"619","Houston Rockets","Chris Cleveland Cavaliersmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,568422,1517981,1782621,NA,NA,NA,"MLE",568422,0.568422,NA,NA,NA,NA,NA,NA
"620","LA Lakers","Dion Waiters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,503656,NA,NA,NA,NA,NA,"Minimum Salary",503656,0.503656,NA,NA,NA,NA,NA,"SG"
"621","Memphis Grizzlies","Dakari Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,459414,459414,NA,NA,NA,NA,NA,918828,0.459414,NA,NA,NA,NA,NA,NA
"622","Boston Celtics","Max Strus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,415414,NA,NA,NA,NA,NA,NA,415414,0.415414,NA,NA,NA,NA,NA,"SG"
"623","Memphis Grizzlies","Ivan Rabb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,371758,NA,NA,NA,NA,NA,NA,371758,0.371758,NA,NA,NA,NA,NA,NA
"624","Miami Heat","A.J. Hammons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,350087,350087,NA,NA,NA,NA,NA,700174,0.350087,NA,NA,NA,NA,NA,NA
"625","Portland Trailblazers","Festus Ezeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,333333,NA,NA,NA,NA,NA,NA,333333,0.333333,NA,NA,NA,NA,NA,NA
"626","Orlando Magic","C.J. Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,333333,NA,NA,NA,NA,NA,NA,333333,0.333333,NA,NA,NA,NA,NA,NA
"627","Detroit Pistons","Joe Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,220000,NA,NA,NA,NA,NA,NA,220000,0.22,NA,NA,NA,NA,NA,NA
"628","Washington Wizards","Jemerrio Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,199000,NA,NA,NA,NA,NA,NA,199000,0.199,NA,NA,NA,NA,NA,NA
"629","Memphis Grizzlies","Jontay Porter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,197933,1517981,NA,NA,NA,NA,"Minimum Salary",197933,0.197933,NA,NA,NA,NA,NA,NA
"630","Toronto Raptors","Cameron Payne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,150000,NA,NA,NA,NA,NA,NA,150000,0.15,NA,NA,NA,NA,NA,NA
"631","LA Clippers","Joakim Noah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,144901,NA,NA,NA,NA,NA,"Minimum Salary",144901,0.144901,NA,NA,NA,NA,NA,NA
"632","Houston Rockets","Troy Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,122741,122741,122741,122741,NA,NA,NA,490964,0.122741,NA,NA,NA,NA,NA,NA
"633","Detroit Pistons","Donta Hall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,101504,NA,NA,NA,NA,NA,NA,101504,0.101504,NA,NA,NA,NA,NA,"PF"
"634","Miami Heat","Yante Maten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,1e+05,NA,NA,NA,NA,NA,NA,1e+05,0.1,NA,NA,NA,NA,NA,NA
"635","Atlanta Hawks","Jaylen Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,1e+05,NA,NA,NA,NA,NA,NA,1e+05,0.1,NA,NA,NA,NA,NA,NA
"636","Boston Celtics","Demetrius Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,92857,92857,92857,92857,92857,NA,NA,464285,0.092857,NA,NA,NA,NA,NA,NA
"637","Detroit Pistons","Derrick Walton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,81678,NA,NA,NA,NA,NA,NA,81678,0.081678,NA,NA,NA,NA,NA,"PG"
"638","Cleveland Cavaliers","Sheldon Mac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,81678,NA,NA,NA,NA,NA,"Minimum Salary",81678,0.081678,NA,NA,NA,NA,NA,NA
"639","Cleveland Cavaliers","Sir'Dominic Pointer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,50752,NA,NA,NA,NA,NA,"Minimum Salary",50752,0.050752,NA,NA,NA,NA,NA,NA
"640","Utah Jazz","William Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,50000,NA,NA,NA,NA,NA,NA,50000,0.05,NA,NA,NA,NA,NA,"SG"
"641","Toronto Raptors","Isaiah Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,50000,NA,NA,NA,NA,NA,NA,50000,0.05,NA,NA,NA,NA,NA,NA
"642","Sacramento Kings","Tyler Lydon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,50000,NA,NA,NA,NA,NA,NA,50000,0.05,NA,NA,NA,NA,NA,NA
"643","Sacramento Kings","Hollis Thompson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,50000,NA,NA,NA,NA,NA,NA,50000,0.05,NA,NA,NA,NA,NA,NA
"644","Sacramento Kings","Tyler Ulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,50000,NA,NA,NA,NA,NA,NA,50000,0.05,NA,NA,NA,NA,NA,NA
"645",NA,"Kadeem Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG"
"646",NA,"Kostas Antetokounmpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF"
"647",NA,"Jordan Bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG"
"648",NA,"Brian Bowen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG"
"649",NA,"Jarrell Brantley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF"
"650",NA,"Oshae Brissett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF"
"651",NA,"Charlie Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG"
