"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM","Rk","Salary_2019_to_20","Salary_2020_to_21","Salary_2021_to_22","Salary_2022_to_23","Salary_2023_to_24","Salary_2024_to_25","Signed Using","Guaranteed","Salary_Per_Million","WARP_Per","PER_Mil","BPM_Per","VORP_Per","WS_Per","Pos"
"497","Oklahoma City Thunder","Hamidou Diallo",21,38,699,8.4,-1.35,-0.5,-0.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,0.3,-4.8,421,1416852,1663861,NA,NA,NA,NA,"MLE",1416852,1.416852,-0.952816525649821,5.92863615959889,-3.38779209119936,-0.352895009499934,0.141158003799973,"SF"
"498","LA Lakers","Kyle Kuzma",24,54,1327,11.6,-1.35,-0.5,-0.2,1.6,1.4,0.052,0.522,0.401,4,15.5,9.9,7.4,0.8,1.4,11.6,23.2,-2.2,-1.3,-3.5,352,1974600,3562178,NA,NA,NA,NA,"1st Round Pick",5536778,1.9746,-0.683682771194166,5.87460751544617,-1.77251088828117,-0.253215841183024,0.709004355312468,"PF"
"499","Golden State Warriors","Jacob Evans",22,27,414,5.7,-1.35,-0.5,-0.6,0.2,-0.5,-0.054,0.439,0.286,2.3,8.7,5.4,10.9,1.3,2.6,14.6,17.6,-5.7,-1.3,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","New York Knicks","Kevin Knox",20,65,1166,8.4,-1.62,-0.6,-0.5,0.7,0.2,0.006,0.47,0.496,2.5,14.7,8.4,7.4,1,2.3,9.2,17.8,-3.1,-1.1,-4.2,220,4380120,4588680,5845978,NA,NA,NA,"1st Round Pick",8968800,4.38012,-0.369852880742993,1.91775567792663,-0.958877838963316,-0.136982548423331,0.0456608494744436,"SF"
"501","New York Knicks","Dennis Smith",22,34,537,7.5,-1.62,-0.6,-1.3,0.5,-0.9,-0.079,0.399,0.256,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-5.2,-0.9,-6.1,218,4463640,5686677,NA,NA,NA,NA,"1st Round Pick",10150317,4.46364,-0.362932494556013,1.68024303035191,-1.36659766468622,-0.134419442428153,-0.201629163642229,NA
"502","Washington Wizards","Isaiah Thomas",30,40,925,11.6,-1.62,-0.6,0.2,-0.1,0,0.001,0.531,0.444,1.3,7,4,23.2,0.7,0.6,14.4,24.1,-0.5,-3.9,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","Oklahoma City Thunder","Terrance Ferguson",21,50,1170,4.1,-1.62,-0.6,-0.1,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.5,0.3,-4.1,308,2475840,3944013,NA,NA,NA,NA,"1st Round Pick",6419853,2.47584,-0.654323381155487,1.65600361897376,-1.65600361897376,-0.242341993020551,0.282732325190642,"SF"
"504","Sacramento Kings","Dewayne Dedmon",30,34,541,8.5,-1.62,-0.6,-0.8,0.7,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.3,-0.1,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Golden State Warriors","Ky Bowman",22,45,1015,9.2,-1.62,-0.6,-0.6,0.6,-0.1,-0.003,0.494,0.333,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,-4,-0.3,-4.3,497,350189,1517981,1782621,NA,NA,NA,"MLE",350189,0.350189,-4.62607334896299,26.2715276607775,-12.2790835805808,-1.71336049961592,-0.28556008326932,"PG"
"506","Cleveland Cavaliers","Matthew Dellavedova",29,57,821,8.1,-1.89,-0.7,0.1,0.1,0.2,0.01,0.463,0.52,2.4,7.8,5.1,29,1.2,0.2,23.6,13,-3.6,-1.6,-5.2,130,9607500,NA,NA,NA,NA,NA,"Cap Space",9607500,9.6075,-0.19672131147541,0.843091334894614,-0.541243819932344,-0.0728597449908925,0.0208170699973979,"PG"
