"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM"
"151","Indiana Pacers","Malcolm Brogdon",27,48,1472,17.8,3.78,1.4,2,1.4,3.5,0.113,0.537,0.296,3,13.8,8.5,34.5,1.1,0.5,13.6,25.2,2.2,-0.5,1.7
"152","Indiana Pacers","Aaron Holiday",23,58,1368,11.7,0.27,0.1,0.4,1.4,1.7,0.06,0.517,0.409,1.7,8.9,5.3,19.5,1.6,0.8,12.4,19.4,-1.4,-0.3,-1.7
"153","Indiana Pacers","Jeremy Lamb",27,46,1291,14.1,1.35,0.5,0.9,1.8,2.7,0.099,0.547,0.33,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,-1.1,0.7,-0.4
"154","Indiana Pacers","Doug McDermot",28,62,1242,14.3,1.62,0.6,2.1,0.9,3,0.115,0.626,0.54,2.1,11.7,6.9,8.3,0.4,0.3,7.2,19.6,1.5,-1.5,0
"155","Indiana Pacers","T.J. McConnell",27,63,1188,16.2,1.89,0.7,1.6,1.4,2.9,0.119,0.541,0.041,3,12.1,7.6,37.2,1.8,0.8,18.5,17.2,0.1,0.2,0.3
"156","Indiana Pacers","Goga Bitadze",20,49,410,12.2,0,0,-0.1,0.7,0.6,0.069,0.53,0.279,6,19.8,12.9,7.1,0.7,6.9,14.8,18.1,-4,1.5,-2.5
"157","Indiana Pacers","Edmond Sumner",24,25,345,10,-0.27,-0.1,-0.1,0.4,0.3,0.039,0.485,0.342,3.2,8.6,5.9,15.4,2.1,2,13.9,17.4,-3.6,0.4,-3.1
"158","Indiana Pacers","JaKarr Sampson",26,26,340,11.8,0,0,0.4,0.4,0.8,0.117,0.607,0.16,4.9,14.2,9.6,3.6,1.3,2.3,7.2,12.5,-2.7,0.8,-1.8
"159","Indiana Pacers","Victor Oladipo",27,13,337,12,-0.27,-0.1,-0.3,0.4,0.1,0.008,0.5,0.429,2.3,11,6.7,16.9,1.6,0.8,13.5,27,-1.7,-1.3,-3
"160","Indiana Pacers","T.J. Leaf",22,25,193,13.8,0,0,0,0.3,0.4,0.088,0.485,0.203,12.1,24.4,18.3,4.3,2,1.4,8.6,18.5,-1.4,-0.1,-1.5
"161","Indiana Pacers","Alize Johnson",23,13,54,10.8,0,0,0,0.1,0.1,0.07,0.51,0,14.4,22.3,18.4,5,0,0,14.5,16.8,-3.2,-1.6,-4.8
"162","Indiana Pacers","Naz Mitrou-Long",26,3,43,10.1,0,0,0,0,0,0.015,0.438,0.688,0,15.3,7.7,22.2,1.1,2,11.1,18.4,-1.9,2.4,0.5
"163","Indiana Pacers","Brian Bowen",21,5,29,-2,-0.27,-0.1,-0.1,0,-0.1,-0.154,0.222,0.222,3.8,22.7,13.3,0,0,3,10,15.2,-9.7,-2.1,-11.8
"164","Charlotte Hornets","Devonte' Graham",24,63,2211,15.8,3.78,1.4,2.5,0.9,3.4,0.073,0.537,0.607,2,8.7,5.2,35.3,1.4,0.6,14.5,24.8,2.6,-2.1,0.5
"165","Charlotte Hornets","Terry Rozier",25,63,2164,14.9,2.16,0.8,1.9,1.1,3,0.067,0.553,0.45,2.4,11.8,7,20.4,1.4,0.4,12.1,23.7,0.8,-1.3,-0.4
"166","Charlotte Hornets","Miles Bridges",21,65,1995,12.1,-0.81,-0.3,0.3,1.3,1.6,0.038,0.52,0.398,4.6,15.6,9.9,9.4,1,2.2,10.5,20,-1.5,-1,-2.5
"167","Charlotte Hornets","P.J. Washington",21,58,1759,12.4,0.54,0.2,0.5,1.4,2,0.054,0.547,0.39,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,-1.7,0.1,-1.6
"168","Charlotte Hornets","Cody Zeller",27,58,1341,18.8,1.35,0.5,2.4,1.2,3.6,0.129,0.576,0.157,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,0.2,-0.8,-0.6
"169","Charlotte Hornets","Malik Monk",21,55,1169,12.7,-0.27,-0.1,0.1,0.6,0.7,0.028,0.53,0.418,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,-1,-1.3,-2.3
"170","Charlotte Hornets","Bismack Biyombo",27,53,1029,16.1,-0.27,-0.1,1.5,0.9,2.4,0.113,0.57,0,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,-1.8,-0.7,-2.5
"171","Charlotte Hornets","Cody Martin",24,48,903,10.5,0,0,0.2,0.8,1,0.052,0.505,0.372,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,-3.1,1,-2.1
"172","Charlotte Hornets","Marvin Williams",33,41,808,11.8,0.54,0.2,0.8,0.6,1.5,0.087,0.593,0.557,2,13.2,7.4,7.8,1.6,2.5,9.7,14,-1.6,0.4,-1.2
"173","Charlotte Hornets","Dwayne Bacon",24,39,687,6.1,-2.16,-0.8,-1.2,0.4,-0.8,-0.053,0.419,0.275,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,-5.9,-0.9,-6.8
"174","Charlotte Hornets","Nicolas Batum",31,22,505,9.2,0,0,0.2,0.4,0.6,0.055,0.463,0.605,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,-2.7,0.9,-1.9
"175","Charlotte Hornets","Willy Hernangómez",25,31,375,19.2,0.54,0.2,0.4,0.4,0.8,0.107,0.576,0.158,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,0.6,-0.5,0.1
"176","Charlotte Hornets","Caleb Martin",24,18,317,12,0.27,0.1,0.3,0.2,0.5,0.081,0.595,0.44,3.3,10,6.5,11.1,1.9,2,13.9,15,-1.6,0.5,-1
"177","Charlotte Hornets","Jalen McDaniels",22,16,293,10.7,-0.27,-0.1,0.2,0.2,0.5,0.078,0.574,0.343,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,-3.3,0,-3.3
"178","Charlotte Hornets","Michael Kidd-Gilchrist",26,12,160,6.1,-0.54,-0.2,-0.2,0.1,-0.1,-0.029,0.421,0.321,5.9,18.4,11.9,9.5,0,1.7,10.9,17.6,-5.3,-1.6,-6.9
"179","Charlotte Hornets","Joe Chealey",24,4,33,-2.8,-0.27,-0.1,-0.2,0,-0.1,-0.189,0.127,0.571,0,0,0,3.9,6.1,0,20.2,13.2,-14.3,1.7,-12.6
"180","Atlanta Hawks","Trae Young",21,60,2120,23.9,8.64,3.2,5.4,0.5,5.9,0.134,0.595,0.455,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,6.3,-2.3,4
"181","Atlanta Hawks","De'Andre Hunter",22,63,2018,8.6,-3.78,-1.4,-0.4,0.5,0.1,0.001,0.521,0.445,2.3,13.1,7.6,8,1,0.7,12.1,17.5,-2.8,-1.8,-4.7
"182","Atlanta Hawks","Kevin Huerter",21,56,1760,11.5,0.54,0.2,1,0.6,1.6,0.042,0.536,0.548,2.1,12,7,17.5,1.4,1.3,12,17.1,-0.6,-0.9,-1.6
"183","Atlanta Hawks","Cam Reddish",20,58,1551,9,-2.43,-0.9,-1.2,0.8,-0.4,-0.011,0.5,0.451,2.4,12.7,7.5,8,1.9,1.5,13.6,18.9,-3.2,-1,-4.2
"184","Atlanta Hawks","John Collins",22,41,1363,23.5,4.59,1.7,3.8,1.1,4.9,0.174,0.659,0.243,9,24,16.4,7.6,1.1,4.1,10.1,22.7,3.7,-0.7,3.1
"185","Atlanta Hawks","DeAndre' Bembry",25,43,915,9.6,-0.27,-0.1,-0.5,0.7,0.2,0.011,0.5,0.285,4,14.1,8.9,12.3,2.8,1.7,19.4,14,-3.5,1,-2.4
"186","Atlanta Hawks","Damian Jones",24,55,887,15.5,0.27,0.1,2.2,0.6,2.8,0.152,0.712,0.051,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,-1.6,0.1,-1.4
"187","Atlanta Hawks","Vince Carter",43,60,876,7.6,-1.35,-0.5,-0.6,0.4,-0.2,-0.011,0.47,0.664,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-3.1,-1.2,-4.3
"188","Atlanta Hawks","Jabari Parker",24,32,837,17.2,1.08,0.4,0.5,0.7,1.2,0.069,0.565,0.293,6.9,17.9,12.3,11.6,2.3,1.5,12.4,24,0.4,-0.3,0.1
"189","Atlanta Hawks","Alex Len",26,40,745,17.5,0.81,0.3,1.1,0.6,1.8,0.113,0.59,0.215,9.8,23.6,16.6,8.7,1.3,3.7,11.7,18.6,-0.2,-0.3,-0.4
"190","Atlanta Hawks","Bruno Fernando",21,56,713,11.9,-1.08,-0.4,0.4,0.4,0.8,0.055,0.542,0.186,10,20,15,9.9,1.2,2,15.9,15.3,-3.2,-1,-4.1
"191","Atlanta Hawks","Allen Crabbe",27,28,522,7.2,-0.81,-0.3,0,0.1,0.1,0.008,0.482,0.65,2,11.5,6.7,7.3,1.3,0.6,7.5,12.7,-3,-1.1,-4.1
"192","Atlanta Hawks","Jeff Teague",31,25,519,12.2,-0.54,-0.2,0.2,0.2,0.4,0.035,0.512,0.182,2.5,8.8,5.6,27.3,1.7,1,17.5,18.3,-1.6,-1.5,-3.1
"193","Atlanta Hawks","Brandon Goodwin",24,34,430,11.7,-0.27,-0.1,-0.1,0.2,0.1,0.013,0.507,0.458,2.7,15.5,9,18,1.3,0.8,12.5,22.4,-1.5,-1.3,-2.9
"194","Atlanta Hawks","Treveon Graham",26,22,266,8,-0.54,-0.2,0,0.1,0.1,0.022,0.478,0.552,8.8,11.5,10.1,7.6,1.2,1.3,11.7,13.3,-3.2,-1.7,-4.9
"195","Atlanta Hawks","Evan Turner",31,19,251,6.8,-0.54,-0.2,-0.5,0.1,-0.3,-0.064,0.424,0.075,3.4,13,8.2,20.6,1.7,2.7,26.2,16.4,-4.9,-0.7,-5.6
"196","Atlanta Hawks","Dewayne Dedmon",30,10,233,11.4,-0.27,-0.1,-0.2,0.3,0.2,0.032,0.463,0.429,6.4,31.8,18.9,4.3,2,5.4,10.3,17.4,-4.5,0.1,-4.4
"197","Atlanta Hawks","Tyrone Wallace",25,14,160,3.9,-0.81,-0.3,-0.3,0.1,-0.3,-0.075,0.389,0.341,2,13,7.4,10.9,2,0.5,16.3,16,-7.7,-1,-8.7
"198","Atlanta Hawks","Chandler Parsons",31,5,54,5.6,-0.27,-0.1,-0.1,0,-0.1,-0.066,0.389,0.778,2,12.1,7,7.5,3.5,1.6,14.3,16.1,-4.7,-1.3,-6
"199","Atlanta Hawks","Charlie Brown",22,10,40,11.1,0,0,0,0,0,-0.028,0.472,0.474,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,-1.1,-1.4,-2.5
"200","Atlanta Hawks","Paul Watson",25,2,17,-7.1,-0.27,-0.1,-0.1,0,-0.1,-0.32,0,0.429,0,12.8,6.3,21.1,2.7,0,0,17.1,-12.3,-1.6,-13.9
"201","Washington Wizards","Bradley Beal",26,57,2053,23.1,6.75,2.5,4.6,0.5,5.1,0.119,0.579,0.369,2.7,10.6,6.5,29.1,1.6,1,11.4,34.4,5.3,-2.4,2.9
"202","Washington Wizards","Davis Bertans",27,54,1583,15.5,2.97,1.1,3,0.5,3.5,0.106,0.628,0.774,2.3,15.1,8.5,8.3,1.1,1.8,8.2,19,2.7,-1.8,0.9
"203","Washington Wizards","Ish Smith",31,60,1570,13.8,0.54,0.2,1.3,0.4,1.7,0.053,0.512,0.258,1.9,11.7,6.6,25.9,1.5,1.3,11.2,18.3,-0.3,-1.1,-1.4
"204","Washington Wizards","Troy Brow",20,61,1519,13.7,0.81,0.3,1.2,0.9,2.2,0.069,0.534,0.287,4.4,19.6,11.7,13,2.3,0.3,10.5,17,-0.8,-0.4,-1.3
"205","Washington Wizards","Rui Hachimura",21,41,1217,13.9,-0.81,-0.3,1.3,0.4,1.7,0.066,0.543,0.16,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,-1.1,-1.9,-3
"206","Washington Wizards","Isaac Bong",20,58,1025,10.7,-0.27,-0.1,1.3,0.4,1.7,0.081,0.627,0.299,6.3,13.6,9.8,7.7,1.7,1.8,16.2,10.3,-2.4,0,-2.4
"207","Washington Wizards","Isaiah Thomas",30,40,925,11.6,-1.62,-0.6,0.2,-0.1,0,0.001,0.531,0.444,1.3,7,4,23.2,0.7,0.6,14.4,24.1,-0.5,-3.9,-4.4
"208","Washington Wizards","Thomas Bryant",22,38,901,20,1.89,0.7,2.4,0.5,2.9,0.153,0.659,0.176,8.8,23.4,15.8,11.9,0.7,3.2,12.1,18.3,2.1,-1.2,0.9
"209","Washington Wizards","Ian Mahinmi",33,38,808,14.1,-0.54,-0.2,0.7,0.7,1.4,0.082,0.545,0.124,10.2,19.8,14.8,8.2,1.8,4.7,14.8,15.7,-2.7,0,-2.7
"210","Washington Wizards","Moritz Wagner",22,37,707,16.6,0.27,0.1,1.3,0.5,1.8,0.122,0.666,0.294,7.6,22.8,14.9,10.1,1.5,2.1,17.2,18.8,-1.2,-0.3,-1.6
"211","Washington Wizards","Jordan McRae",28,29,654,15.2,0.81,0.3,0.4,0.2,0.7,0.05,0.523,0.334,2.7,15.2,8.7,18.8,1.4,2,9.7,24.9,0.8,-1.3,-0.5
"212","Washington Wizards","Gary Payton",27,29,432,11.3,0,0,0.1,0.4,0.4,0.049,0.473,0.397,6.3,14.3,10.2,14.7,3.6,1.4,14.3,13.4,-3.1,1.5,-1.6
"213","Washington Wizards","Anžejs Pasecniks",24,24,405,11.6,-0.81,-0.3,0.3,0.2,0.5,0.056,0.555,0.019,10.2,16.9,13.4,5.7,0.9,2.6,14.5,15.6,-3.8,-1.6,-5.4
"214","Washington Wizards","Shabazz Napier",28,15,378,15.7,0.54,0.2,0.4,0.2,0.6,0.082,0.587,0.485,2.2,8.5,5.2,24.2,3.2,0.5,18.6,20.7,0.2,-0.2,0.1
"215","Washington Wizards","Admiral Schofield",22,27,293,6.8,-0.54,-0.2,0.1,0,0.1,0.02,0.514,0.627,2.2,10.9,6.4,6.2,1.3,0.9,8,12.5,-4.2,-1.1,-5.3
"216","Washington Wizards","Jerome Robinson",22,13,272,8.1,-0.27,-0.1,-0.1,0.1,0.1,0.011,0.468,0.463,1.6,17.6,9.3,9.2,1.5,1.9,8.7,14.1,-3.3,-0.6,-3.9
"217","Washington Wizards","Garrison Mathews",23,18,227,13.1,0.27,0.1,0.6,0,0.6,0.129,0.691,0.821,2.8,9.1,5.8,5.8,1.6,0.4,10.1,14.5,-0.5,-0.6,-1.1
"218","Washington Wizards","C.J. Miles",32,10,161,11,0,0,0,0.1,0.1,0.033,0.472,0.593,2.6,5.7,4.1,9.9,2.9,2.2,5.6,18.6,-1.8,0,-1.9
"219","Washington Wizards","Johnathan Williams",24,11,135,14.4,0,0,0.3,0.1,0.3,0.116,0.643,0.08,11.7,23.7,17.5,5.9,0.3,3.9,12.8,9.6,-0.5,-1.3,-1.8
"220","Washington Wizards","Chris Chiozza",24,10,123,9.2,0,0,-0.1,0.1,0,-0.002,0.397,0.471,0,13.9,6.7,28.9,3.8,1.4,20.9,14.5,-3.6,2.1,-1.4
"221","Washington Wizards","Justin Robinson",22,9,49,8.2,0,0,0,0,0,0.006,0.542,0.417,2.2,9.3,5.6,18.6,0,1.8,20,12.7,-2.6,-3.1,-5.7
"222","Miami Heat","Bam Adebayo",22,65,2235,20.6,8.64,3.2,4.6,3.6,8.1,0.175,0.606,0.018,8.7,25,17.2,23.6,1.7,3.8,17.5,20.8,1.6,2.1,3.6
"223","Miami Heat","Duncan Robinson",25,65,1949,12.8,2.97,1.1,3.2,1.5,4.7,0.116,0.678,0.886,0.5,11.2,6.1,7,0.9,0.8,8.6,15.8,1.2,-0.9,0.3
"224","Miami Heat","Jimmy Butler",30,54,1851,23.4,9.18,3.4,6,2.5,8.5,0.219,0.583,0.162,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,4,1.3,5.2
"225","Miami Heat","Kendrick Nunn",24,62,1846,13.5,0,0,1,1.4,2.4,0.064,0.545,0.426,1.2,8.7,5.1,18.7,1.4,0.6,10.2,23.7,-0.7,-1.3,-2
"226","Miami Heat","Goran Dragic",33,54,1531,15.9,1.62,0.6,2,1.1,3,0.095,0.571,0.472,2,9.9,6.1,28.6,1,0.5,14.9,25.7,1.4,-1.9,-0.5
"227","Miami Heat","Tyler Herro",20,47,1280,11.4,-0.27,-0.1,-0.3,1.1,0.9,0.033,0.534,0.476,1.3,14.6,8.2,11.1,1.1,0.5,11.3,22,-1,-1.3,-2.3
"228","Miami Heat","Derrick Jones",22,51,1249,14.8,2.43,0.9,2.3,1.6,3.9,0.15,0.609,0.39,5.4,13.5,9.6,6.7,2.1,2.9,6.8,14.1,-0.4,1.1,0.8
"229","Miami Heat","Kelly Olynyk",28,59,1089,14.7,2.16,0.8,1.7,1.5,3.2,0.14,0.64,0.584,4,22,13.4,13.2,1.7,1.6,15.1,16.9,0.1,1,1.1
"230","Miami Heat","Meyers Leonard",27,49,987,11.1,0.81,0.3,1,1.1,2.1,0.104,0.64,0.534,3.2,24.1,14.1,7.7,0.6,1.5,13,12,-1,0.4,-0.6
"231","Miami Heat","Jae Crowder",29,13,373,16,1.08,0.4,0.7,0.6,1.3,0.168,0.618,0.781,2.5,19.6,11.4,10.3,2.6,1.9,6,15.8,0.7,1.1,1.8
"232","Miami Heat","Justise Winslow",23,11,352,8.6,-0.27,-0.1,-0.4,0.4,0,-0.003,0.44,0.209,5.3,17.4,11.6,18.6,1,1.4,14.6,20.7,-3.5,-0.1,-3.5
"233","Miami Heat","Chris Silva",23,41,307,17.2,0,0,0.7,0.5,1.1,0.178,0.663,0.029,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,-3.4,0.9,-2.5
"234","Miami Heat","James Johnson",32,18,281,11.1,0,0,0,0.4,0.4,0.066,0.547,0.517,3.3,16.9,10.4,11.1,1,4.6,13.9,17,-2.6,0.7,-1.9
"235","Miami Heat","Andre Iguodala",36,14,259,11,0.27,0.1,0,0.4,0.4,0.078,0.559,0.471,4.5,17.9,11.5,15.1,1.5,6.1,23.8,12.2,-2.5,1.9,-0.7
"236","Miami Heat","Solomon Hill",28,6,91,5.9,0,0,-0.1,0.1,0,-0.006,0.447,0.6,3.9,8.3,6.2,5.7,2.7,5.5,29.5,11.5,-4.5,0.8,-3.7
"237","Miami Heat","Gabe Vincent",23,6,42,1.2,-0.27,-0.1,-0.1,0,-0.1,-0.105,0.316,0.842,0,7.7,4,9.9,1.2,0,0,20,-6.7,-2.9,-9.6
"238","Miami Heat","Dion Waiters",28,3,42,13.5,0,0,-0.1,0.1,0,-0.001,0.53,0.654,0,28.2,14.7,12.4,0,4.7,10.2,30.9,2.4,-0.6,1.8
"239","Miami Heat","KZ Okpala",20,5,26,13.7,0,0,0,0,0.1,0.119,0.595,0.2,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,-1.2,4,2.7
"240","Miami Heat","Udonis Haslem",39,3,21,3,-0.27,-0.1,0,0,0,-0.032,0.322,0.333,0,41,21.4,6.2,0,0,0,16.3,-9.7,-3,-12.7
"241","Miami Heat","Daryl Macon",24,4,14,-3.1,0,0,0,0,0,-0.161,0.5,0.667,0,0,0,9.6,0,0,40,15.8,-7,-4.4,-11.4
"242","Orlando Magic","Evan Fournier",27,61,1931,16.7,4.32,1.6,2.7,1.7,4.4,0.11,0.599,0.467,0.9,8.1,4.4,16.5,1.8,0.7,11.1,24.2,1.5,-0.3,1.2
"243","Orlando Magic","Aaron Gordon",24,58,1914,14.8,2.16,0.8,1.2,2.2,3.3,0.084,0.511,0.311,5.6,19.6,12.4,17.2,1.3,1.7,10.3,20.6,-0.3,0.1,-0.3
"244","Orlando Magic","Markelle Fultz",21,64,1813,14.4,0.27,0.1,0.8,1.9,2.7,0.071,0.523,0.175,2,10.9,6.3,28.8,2.2,0.5,15.1,20.7,-1.9,0.2,-1.7
"245","Orlando Magic","Nikola Vucevic",29,54,1763,21.6,7.29,2.7,2.9,2.6,5.5,0.15,0.54,0.274,7.6,29.4,18.1,20,1.3,2.4,7.3,25.8,3.4,0.6,4
"246","Orlando Magic","Terrence Ross",28,63,1723,14.2,1.89,0.7,1,1.8,2.9,0.08,0.548,0.584,0.8,12.3,6.3,6.8,2,1.2,6.8,22.8,0,-0.3,-0.4
"247","Orlando Magic","D.J. Augustin",32,49,1215,14.2,0.54,0.2,1.8,0.8,2.6,0.101,0.548,0.438,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,-0.3,-1,-1.4
"248","Orlando Magic","Jonathan Isaac",22,32,949,16.9,2.7,1,0.4,1.9,2.3,0.114,0.542,0.283,6.2,19.3,12.6,7,2.6,7.4,11.7,18.3,-0.8,2.9,2
"249","Orlando Magic","Mo Bamba",21,60,868,17.8,1.62,0.6,0.9,1.7,2.5,0.14,0.549,0.369,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,-1.1,1.7,0.5
"250","Orlando Magic","Wesley Iwundu",25,45,810,9.9,-0.54,-0.2,0.6,0.8,1.4,0.08,0.521,0.345,2.9,12.4,7.5,7.9,1.5,1.2,7.3,13.1,-3.1,0.2,-2.9
"251","Orlando Magic","Khem Birch",27,40,777,10.1,-0.54,-0.2,0.7,0.8,1.5,0.092,0.529,0.009,9.3,15.7,12.4,6.1,1,2.4,13.7,9.3,-3.3,0.3,-3
"252","Orlando Magic","Michael Carter-Williams",28,42,773,15.7,1.35,0.5,0.7,1.1,1.9,0.116,0.539,0.281,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,-1.3,1.7,0.4
"253","Orlando Magic","Al-Farouq Aminu",29,18,380,7.6,-0.27,-0.1,-0.4,0.5,0.1,0.016,0.395,0.419,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-4.5,1.4,-3.1
"254","Orlando Magic","James Ennis",29,12,277,9.4,-0.54,-0.2,0.1,0.3,0.3,0.06,0.537,0.485,4.9,14.4,9.5,6.6,1.1,2,13.7,13.7,-3.7,-1.3,-5
"255","Orlando Magic","Gary Clark",25,17,213,8.8,-0.27,-0.1,0.1,0.2,0.3,0.07,0.49,0.833,7.8,15.1,11.3,1.9,0.7,3,6.5,9.3,-2.7,-1.3,-3.9
"256","Orlando Magic","Amile Jefferson",26,18,74,8.9,-0.27,-0.1,0,0.1,0,0.023,0.372,0,14,19.5,16.7,7.2,0.7,3.7,13,13.5,-4.9,-1,-5.9
"257","Orlando Magic","Melvin Frazier",23,15,51,7.5,0,0,-0.1,0.1,0,0.003,0.48,0.412,2,6.5,4.2,2.8,3.8,3.5,13.8,18.5,-6,1.5,-4.5
"258","Orlando Magic","B.J. Johnson",24,8,46,2.5,-0.27,-0.1,-0.2,0,-0.1,-0.132,0.344,0.333,2.3,12.1,7,6.1,2.1,0,13.7,20.6,-7.2,-2.5,-9.7
"259","Orlando Magic","Josh Magette",30,8,38,5.1,0,0,-0.2,0.1,-0.1,-0.126,0.378,0.267,2.7,14.6,8.5,19.2,3.9,2.4,23.9,23.8,-8,1.6,-6.4
"260","Orlando Magic","Vic Law",24,5,9,-16.6,-0.27,-0.1,-0.1,0,-0.1,-0.456,0,0.333,0,12.4,6,0,0,0,0,18.6,-17,-8.2,-25.2
"261","Denver Nuggets","Nikola Jokic",24,65,2101,25,13.77,5.1,6,3.2,9.2,0.209,0.604,0.233,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,5.4,2.3,7.6
"262","Denver Nuggets","Will Barton",29,58,1916,15.7,4.05,1.5,2.4,2.1,4.5,0.113,0.549,0.39,4.4,16.8,10.6,16,1.6,1.4,9.9,20,1.2,-0.1,1.2
"263","Denver Nuggets","Jamal Murray",22,55,1804,17.5,3.78,1.4,2.5,1.6,4.2,0.111,0.559,0.359,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,1.8,-0.7,1.1
"264","Denver Nuggets","Gary Harris",25,56,1780,9.7,-0.54,-0.2,0.5,1.7,2.2,0.059,0.519,0.405,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,-2.8,0.4,-2.4
"265","Denver Nuggets","Jerami Grant",25,64,1676,14.2,1.89,0.7,2.4,1.7,4,0.116,0.585,0.394,3.5,11.6,7.5,6.7,1.3,2.9,8,17.8,-0.1,-0.4,-0.4
"266","Denver Nuggets","Monte Morris",24,65,1402,14.9,2.16,0.8,2.2,1.2,3.4,0.117,0.537,0.298,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,0.2,-0.1,0.1
"267","Denver Nuggets","Paul Millsap",34,44,1075,17.7,1.89,0.7,2,1.4,3.4,0.151,0.598,0.282,9,17.9,13.5,9.5,1.7,2.4,12.1,20.3,0.6,0,0.6
"268","Denver Nuggets","Mason Plumlee",29,53,900,19.1,2.7,1,1.7,1.3,3,0.162,0.615,0.016,11,23.9,17.4,20,1.6,3.4,18.9,18.4,0.2,2,2.2
"269","Denver Nuggets","Torrey Craig",29,50,869,10.4,-0.27,-0.1,0.8,0.9,1.7,0.095,0.559,0.524,6.1,13.8,10,5.2,1,3.4,9,12.2,-2.4,0.1,-2.3
"270","Denver Nuggets","Malik Beasley",23,41,746,10.5,-0.54,-0.2,-0.2,0.7,0.6,0.037,0.511,0.535,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.6,-2.2,-0.6,-2.8
"271","Denver Nuggets","Michael Porter",21,48,670,18.5,1.35,0.5,1,0.9,2,0.141,0.589,0.358,8.8,24.3,16.5,8,1.5,2.6,10.3,22,1.4,-0.7,0.8
"272","Denver Nuggets","Juan Hernang<f3>mez",24,34,422,6.9,-0.81,-0.3,-0.2,0.4,0.1,0.014,0.442,0.545,6.3,18.7,12.5,6.7,0.6,1.1,12.9,14.3,-4,-1.1,-5.2
"273","Denver Nuggets","PJ Dozier",23,21,234,9.3,-0.54,-0.2,-0.1,0.2,0.1,0.019,0.449,0.308,2.4,11.9,7.1,17.5,1.5,2,10.3,19.8,-4.4,-0.8,-5.2
"274","Denver Nuggets","Vlatko ?an?ar",22,14,45,11.4,0,0,0,0,0.1,0.069,0.507,0.4,12.4,12.4,12.4,9.1,1.1,2,15.2,19.1,-3.5,-1.1,-4.5
"275","Denver Nuggets","Jarred Vanderbilt",20,9,41,7.2,0,0,-0.1,0.1,0,-0.035,0.714,0,8.1,13.6,10.9,6.6,3.6,2.2,50,14.8,-7.1,1.1,-6
"276","Denver Nuggets","Jordan McRae",28,4,32,16.7,0,0,0.1,0,0.1,0.208,0.58,0.667,3.5,13.9,8.7,15.6,3.1,2.9,0,10.5,1,1.4,2.5
"277","Denver Nuggets","Keita Bates-Diop",24,2,19,15.8,0,0,0.1,0,0.1,0.218,0.931,0,0,11.7,5.9,0,0,4.8,0,8.6,0,0.1,0
"278","Denver Nuggets","Noah Vonleh",24,4,17,22,0,0,0.1,0,0.1,0.185,1.031,0.333,19.6,26.2,22.9,8.6,0,0,34,15,4.3,-1.6,2.7
"279","Denver Nuggets","Troy Daniels",28,1,1,-40.8,0,0,0,0,0,-1.036,0,1,0,0,0,0,0,0,0,43.4,-38.4,-22.8,-61.2
"280","Utah Jazz","Donovan Mitchell",23,63,2165,19.1,5.67,2.1,3,2.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,-0.5,1.9
"281","Utah Jazz","Rudy Gobert",27,62,2142,21.7,8.37,3.1,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.9,3.7
"282","Utah Jazz","Bojan Bogdanovic",30,63,2083,15.7,2.97,1.1,2.7,1.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,-1.5,0.2
"283","Utah Jazz","Joe Ingles",32,64,1916,12.5,3.51,1.3,2.4,2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7,0.7
